Fecha,Precipitacion_Pluviometrica,Precipitacion_Cronologica,Precipitacion_Maxima_30minutos,Heliofania_Efectiva,Heliofania_Relativa,Tesion_Vapor_Media,Humedad_Media,Humedad_Media_8_14_20,Rocio_Medio,Duracion_Follaje_Mojado,Velocidad_Viento_200cm_Media,Direccion_Viento_200cm,Velocidad_Viento_1000cm_Media,Direccion_Viento_1000cm,Velocidad_Viento_Maxima,Presion_Media,Radiacion_Global,Horas_Frio,Unidades_Frio,Temperatura_Abrigo_150cm,Temperatura_Abrigo_150cm_Maxima,Temperatura_Abrigo_150cm_Minima,Temperatura_Intemperie_50cm_Minima,Temperatura_Suelo_10cm_Media
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,0.0,  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,9.712307000000001,83.0,81.0,6.544751,0.0,0.0,  ,0.0,  ,0.0,0.0,0.0,1.494,0.0,9.572915,12.3,7.3,0.0,9.702779
2,0.0,0.0,0.0,0.0,0.0,8.052779,81.0,77.0,3.7620410000000004,0.0,0.0,  ,0.0,  ,0.0,0.0,0.0,13.61201,13.363010000000001,8.314584,17.4,1.7,0.0,9.373611
3,0.0,0.0,0.0,0.0,0.0,7.681013,77.0,73.0,3.135792,0.0,0.0,  ,0.0,  ,0.0,0.0,0.0,13.94401,13.94401,7.433333,17.1,0.8,0.0,8.793056
4,0.0,0.0,0.0,0.0,0.0,7.810816,58.0,52.0,3.3963379999999996,0.0,0.0,  ,0.0,  ,0.0,0.0,0.0,7.801996000000001,3.236999,11.29514,22.2,3.9,0.0,8.979861
5,0.0,0.0,0.0,0.0,0.0,7.763989,51.0,49.0,3.1614459999999998,0.0,0.0,  ,0.0,  ,0.0,0.0,0.0,0.0,0.41500059999999994,13.84791,21.2,8.1,0.0,10.147219999999999
6,0.0,0.0,0.0,0.0,0.0,11.4588,64.0,57.0,8.932193,0.0,0.0,  ,0.0,  ,0.0,0.0,0.0,0.0,-8.631999,15.515279999999999,24.1,9.0,0.0,10.875
7,0.0,0.0,0.0,0.0,0.0,10.41728,63.0,61.0,7.180822,0.0,0.0,  ,0.0,  ,0.0,0.0,0.0,0.0,-4.232996,15.93472,19.7,11.6,0.0,11.9618
8,0.0,0.0,0.0,0.0,0.0,14.784579999999998,61.0,54.0,12.67947,0.0,0.0,  ,0.0,  ,0.0,0.0,0.0,0.0,-12.699010000000001,19.13541,30.0,11.2,0.0,13.084719999999999
9,1.4,0.0,0.0,0.0,0.0,16.59636,54.0,53.0,14.19798,0.0,0.0,  ,0.0,  ,0.0,0.0,0.0,0.0,-21.82903,25.93055,31.2,18.5,0.0,16.304170000000003
