Fecha,Temperatura_Abrigo_150cm,Temperatura_Abrigo_150cm_Maxima,Temperatura_Abrigo_150cm_Minima,Temperatura_Intemperie_5cm_Minima,Temperatura_Intemperie_50cm_Minima,Temperatura_Suelo_5cm_Media,Temperatura_Suelo_10cm_Media,Temperatura_Inte_5cm,Temperatura_Intemperie_150cm_Minima,Humedad_Suelo,Precipitacion_Pluviometrica,Precipitacion_Cronologica,Precipitacion_Maxima_30minutos,Heliofania_Efectiva,Heliofania_Relativa,Tesion_Vapor_Media,Humedad_Media,Humedad_Media_8_14_20,Rocio_Medio,Duracion_Follaje_Mojado,Velocidad_Viento_200cm_Media,Direccion_Viento_200cm,Velocidad_Viento_1000cm_Media,Direccion_Viento_1000cm,Velocidad_Viento_Maxima,Presion_Media,Radiacion_Global,Horas_Frio,Unidades_Frio
2009-08-06 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
2009-08-07 00:00:00.0,9.572915,12.3,7.3,,,,9.702779,,,,0.0,0.0,0.0,,,9.712307,83,81,6.544751,,,  ,,  ,,,,1.494,
2009-08-08 00:00:00.0,8.314584,17.4,1.7,,,,9.373611,,,,0.0,0.0,0.0,,,8.052779,81,77,3.762041,,,  ,,  ,,,,13.61201,13.36301
2009-08-09 00:00:00.0,7.433333,17.1,0.8,,,,8.793056,,,,0.0,0.0,0.0,,,7.681013,77,73,3.135792,,,  ,,  ,,,,13.94401,13.94401
2009-08-10 00:00:00.0,11.29514,22.2,3.9,,,,8.979861,,,,0.0,0.0,0.0,,,7.810816,58,52,3.396338,,,  ,,  ,,,,7.801996,3.236999
2009-08-11 00:00:00.0,13.84791,21.2,8.1,,,,10.14722,,,,0.0,0.0,0.0,,,7.763989,51,49,3.161446,,,  ,,  ,,,,0.0,0.4150006
2009-08-12 00:00:00.0,15.51528,24.1,9.0,,,,10.875,,,,0.0,0.0,0.0,,,11.4588,64,57,8.932193,,,  ,,  ,,,,0.0,-8.631999
2009-08-13 00:00:00.0,15.93472,19.7,11.6,,,,11.9618,,,,0.0,0.0,0.0,,,10.41728,63,61,7.180822,,,  ,,  ,,,,0.0,-4.232996
2009-08-14 00:00:00.0,19.13541,30.0,11.2,,,,13.08472,,,,0.0,0.0,0.0,,,14.78458,61,54,12.67947,,,  ,,  ,,,,0.0,-12.69901
2009-08-15 00:00:00.0,25.93055,31.2,18.5,,,,16.30417,,,,1.4,0.0,0.0,,,16.59636,54,53,14.19798,,,  ,,  ,,,,0.0,-21.82903
2009-08-16 00:00:00.0,12.05625,18.5,7.9,,,,13.62778,,,,0.2,1.6,0.8,,,9.215789,75,75,5.756931,,,  ,,  ,,,,2.987999,12.53301
2009-08-17 00:00:00.0,9.617361,20.0,0.6,,,,10.88889,,,,0.0,0.0,0.0,,,6.889279,65,61,1.498013,,,  ,,  ,,,,8.797997,5.311996
2009-08-18 00:00:00.0,10.55278,18.2,2.9,,,,10.84445,,,,0.0,0.0,0.0,,,7.663472,61,55,3.084056,,,  ,,  ,,,,7.303997,5.809993
2009-08-19 00:00:00.0,12.00625,13.7,10.3,,,,11.1132,,,,0.0,0.0,0.0,,,8.883967,68,59,5.157406,,,  ,,  ,,,,0.498,9.877008
2009-08-20 00:00:00.0,9.077083,15.5,3.6,,,,10.73125,,,,0.0,0.0,0.0,,,8.461086,79,76,4.503987,,,  ,,  ,,,,11.122,16.01901
2009-08-21 00:00:00.0,8.869444,17.1,0.6,,,,10.64305,,,,0.0,0.0,0.0,,,8.820587,76,72,5.025213,,,  ,,  ,,,,7.635996,8.715005
2009-08-22 00:00:00.0,13.08819,19.2,8.1,,,,11.95347,,,,0.0,0.0,0.0,,,10.2078,72,69,7.26196,,,  ,,  ,,,,0.0,2.904998
2009-08-23 00:00:00.0,12.19792,20.9,4.5,,,,12.25834,,,,0.0,0.0,0.0,,,10.76901,79,72,7.98912,,,  ,,  ,,,,4.481998,5.145997
2009-08-24 00:00:00.0,13.64792,20.8,6.6,,,,12.66389,,,,0.0,0.0,0.0,,,13.00329,80,76,10.76598,,,  ,,  ,,,,0.332,-2.987998
2009-08-25 00:00:00.0,18.62847,27.6,12.1,,,,14.19653,,,,0.0,0.0,0.0,,,15.12032,70,65,13.12828,,,  ,,  ,,,,0.0,-14.52501
2009-08-26 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
2009-08-27 00:00:00.0,23.52709,32.2,16.5,,,,17.20903,,,,0.0,0.0,0.0,,,16.66931,61,54,14.63116,,,  ,,  ,,,,0.0,-21.91203
2009-08-28 00:00:00.0,22.35487,31.2,14.5,,,,17.62569,,,,0.0,0.0,0.0,,,16.28999,62,55,14.28091,,,  ,,  ,,,,0.0,-18.92402
2009-08-29 00:00:00.0,24.72362,33.3,18.3,,,,18.23194,,,,0.0,0.0,0.0,,,16.27004,53,50,14.26795,,,  ,,  ,,,,0.0,-23.90403
2009-08-30 00:00:00.0,26.56598,35.0,21.8,,,,19.12639,,,,0.2,0.0,0.0,,,15.49136,47,48,13.3791,,,  ,,  ,,,,0.0,-23.90403
2009-08-31 00:00:00.0,15.63819,23.5,11.6,,,,17.16597,,,,0.2,0.4,0.2,,,13.27225,79,84,10.96159,,,  ,,  ,,,,0.0,-1.079
2009-09-01 00:00:00.0,14.27986,18.2,10.5,,,,15.66736,,,,0.0,0.0,0.0,,,12.58019,79,78,10.30322,,,  ,,  ,,,,0.0,0.1659998
2009-09-02 00:00:00.0,13.68403,15.8,11.4,,,,14.77848,,,,0.2,0.2,0.2,,,14.40137,93,94,12.38508,,,  ,,  ,,,,0.0,1.328
2009-09-03 00:00:00.0,14.02917,17.3,12.4,,,,14.58541,,,,1.0,0.0,0.0,,,13.30516,83,79,11.17219,,,  ,,  ,,,,0.0,-1.577
2009-09-04 00:00:00.0,12.92362,16.8,9.7,,,,14.62847,,,,,1.0,0.8,,,13.49731,94,93,11.39411,,,  ,,  ,,,,0.0,4.814
2009-09-05 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
2009-09-06 00:00:00.0,17.0188,,,,,,15.125,,,,,0.0,0.0,,,14.43417,77,71,12.42508,,,  ,,  ,,,,0.0,-9.794001
2009-09-07 00:00:00.0,,,,,,,,,,,1.8,,,,,,,,,,,  ,,  ,,,,,
2009-09-08 00:00:00.0,8.916667,12.5,6.6,,,,13.26598,,,,0.0,1.0,0.6,,,8.947563,84,81,5.209993,,,  ,,  ,,,,5.311998,
2009-09-09 00:00:00.0,7.008335,13.6,0.4,,,,11.53195,,,,0.0,0.0,0.0,,,7.095325,74,67,2.035,,,  ,,  ,,,,12.61601,14.19302
2009-09-10 00:00:00.0,9.731944,19.0,2.2,,,,11.83195,,,,0.0,0.0,0.0,,,7.633651,66,54,3.029964,,,  ,,  ,,,,7.967996,9.711
2009-09-11 00:00:00.0,10.87917,18.5,2.8,,,,12.39583,,,,0.0,0.0,0.0,,,8.418847,69,59,4.142756,,,  ,,  ,,,,6.639997,8.465996
2009-09-12 00:00:00.0,12.71389,20.7,5.4,,,,13.31389,,,,0.0,0.0,0.0,,,11.18116,77,67,8.544636,,,  ,,  ,,,,4.315999,1.161998
2009-09-13 00:00:00.0,14.3125,20.9,7.4,,,,14.17848,,,,0.0,0.0,0.0,,,12.07129,76,68,9.685194,,,  ,,  ,,,,0.0,-2.572999
2009-09-14 00:00:00.0,16.99236,22.5,12.0,,,,15.6125,,,,0.0,0.0,0.0,,,14.98051,77,72,12.97254,,,  ,,  ,,,,0.0,-12.28401
2009-09-15 00:00:00.0,18.04514,24.4,12.8,,,,16.73959,,,,0.0,0.0,0.0,,,15.22636,76,68,13.23114,,,  ,,  ,,,,0.0,-13.36301
2009-09-16 00:00:00.0,15.77362,20.9,11.8,,,,16.46944,,,,0.0,0.0,0.0,,,13.6144,78,70,11.49254,,,  ,,  ,,,,0.0,-6.971998
2009-09-17 00:00:00.0,12.77292,14.9,10.8,,,,14.56667,,,,,3.0,1.0,,,13.14475,89,90,10.88929,,,  ,,  ,,,,0.0,4.481999
2009-09-18 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
2009-09-19 00:00:00.0,,,,,,,,,,,0.0,,,,,,,73,,,,  ,,  ,,,,,
2009-09-20 00:00:00.0,12.9875,22.4,3.7,,,,13.85625,,,,0.0,0.0,0.0,,,9.660729,66,59,6.431308,,,  ,,  ,,,,6.473997,-1.162001
2009-09-21 00:00:00.0,17.26667,,,,,,15.05,,,,,,,,,11.16542,57,51,8.536985,,,  ,,  ,,,,,-9.628
2009-09-22 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
2009-09-27 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
2009-09-28 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
2009-09-29 00:00:00.0,9.254167,15.8,2.1,,,,12.51875,,,,0.0,0.0,0.0,,,7.359777,66,58,2.514254,,,  ,,  ,,,,8.133996,13.44601
2009-09-30 00:00:00.0,10.39306,16.7,2.2,,,,13.07361,,,,0.0,0.0,0.0,,,8.789077,69,55,4.997293,,,  ,,  ,,,,6.307997,6.722998
2009-10-01 00:00:00.0,13.82153,17.7,9.4,,,,14.14861,,,,0.0,0.0,0.0,,,10.72618,73,73,7.975389,,,  ,,  ,,,,1.162,4.730999
2009-10-02 00:00:00.0,13.65916,23.8,4.6,,,,14.45564,,,,0.0,0.0,0.0,,,10.44597,67,57,7.514671,,,  ,,  ,,,,6.141997,-3.237
2009-10-03 00:00:00.0,16.79028,23.1,8.8,,,,16.00556,,,,0.0,0.0,0.0,,,11.9903,63,58,9.594759,,,  ,,  ,,,,0.0,-10.541
2009-10-04 00:00:00.0,18.44653,23.7,13.4,,,,17.12222,,,,29.6,0.0,0.0,,,15.11612,69,66,13.10161,,,  ,,  ,,,,0.0,-16.26801
2009-10-05 00:00:00.0,21.57314,,,,,,19.5,,,,,,,,,18.58017,76,79,16.2525,,,  ,,  ,,,,,-21.49702
2009-10-06 00:00:00.0,15.56944,19.3,9.6,,,,17.71458,,,,0.0,0.0,0.0,,,8.656847,55,45,4.582065,,,  ,,  ,,,,1.328,-1.411
2009-10-07 00:00:00.0,10.88286,18.3,1.9,,,,15.62746,,,,0.0,0.0,0.0,,,7.733653,63,45,2.780751,,,  ,,  ,,,,,6.805993
2009-10-08 00:00:00.0,13.0218,21.0,5.4,,,,16.05972,,,,0.0,0.0,0.0,,,10.8808,68,36,7.561481,,,  ,,  ,,,,,-1.162002
2009-10-09 00:00:00.0,15.28872,20.9,8.4,,,,16.36458,,,,0.0,0.0,0.0,,,11.87126,65,41,9.003382,,,  ,,  ,,,,,-8.300001
2009-10-10 00:00:00.0,18.77032,25.5,14.0,,,,16.81945,,,,71.8,62.0,33.2,,,18.09111,77,80,15.62529,,,  ,,  ,,,,,-11.454
2009-10-11 00:00:00.0,16.48581,20.0,11.5,,,,17.69161,,,,0.0,9.799999,4.0,,,13.13269,74,73,10.48184,,,  ,,  ,,,,0.0,-5.726991
